game_id,game_start_time,map_name,row_time,elapsed_s,primary_weapon,secondary_weapon,armor_level,shield_type,shield_hp,flesh_hp,health,squads_remaining,players_remaining,kills,assists,participation,damage,map_x,map_y,location
20260608-134148-j2y292,2026-06-08T13:41:48,,2026-06-08T13:42:18,30.2,,,2,none,0,92,92,,,313414812292,0,,,,,
20260608-134148-j2y292,2026-06-08T13:41:48,,2026-06-08T13:42:23,35.2,,,2,none,0,92,92,,,313414812292,0,,,,,
